Iteration;Algorithm;DatasetName;DatasetSize;Time Insere;Counter Comparisons Insere;Time Pesquisa;Counter Comparisons Pesquisa;Time Retira;Counter Comparisons Retira
1;TreapTree;Ordered;10;0.012;1;0.005;3;0.005;2;
1;AVLTree;Ordered;10;0.008;14;0.005;7;0.006;9;
1;RedBlackTree;Ordered;10;0.01;21;0.004;8;0.009;17;
1;BinarySearchTree;Ordered;10;0.006;8;0.004;12;0.003;13;
1;BinarySearch;Ordered;10;0.005;8;0.004;4;0.005;10;
1;LinearSearch;Ordered;10;0.006;15;0.005;16;0.003;5;
1;TreapTree;OrderedInverse;10;0.007;1;0.004;3;0.005;1;
1;AVLTree;OrderedInverse;10;0.007;12;0.004;7;0.006;11;
1;RedBlackTree;OrderedInverse;10;0.009;18;0.004;7;0.009;18;
1;BinarySearchTree;OrderedInverse;10;0.005;8;0.003;12;0.003;13;
1;BinarySearch;OrderedInverse;10;0.006;13;0.004;4;0.004;5;
1;LinearSearch;OrderedInverse;10;0.006;11;0.004;12;0.004;5;
1;TreapTree;AlmostOrdered;10;0.007;2;0.004;2;0.005;2;
1;AVLTree;AlmostOrdered;10;0.007;13;0.005;8;0.005;9;
1;RedBlackTree;AlmostOrdered;10;0.01;18;0.004;8;0.008;17;
1;BinarySearchTree;AlmostOrdered;10;0.004;8;0.003;12;0.004;13;
1;BinarySearch;AlmostOrdered;10;0.005;8;0.004;4;0.005;9;
1;LinearSearch;AlmostOrdered;10;0.005;14;0.005;15;0.004;5;
1;TreapTree;Random;10;0.009;2;0.005;3;0.008;3;
1;AVLTree;Random;10;0.009;12;0.005;8;0.008;10;
1;RedBlackTree;Random;10;0.011;12;0.005;7;0.011;15;
1;BinarySearchTree;Random;10;0.006;8;0.004;12;0.003;13;
1;BinarySearch;Random;10;0.02;10;0.005;4;0.005;6;
1;LinearSearch;Random;10;0.007;7;0.004;8;0.005;8;
1;TreapTree;Ordered;100;0.056;4;0.034;6;0.032;3;
1;AVLTree;Ordered;100;0.078;29;0.03;14;0.032;17;
1;RedBlackTree;Ordered;100;0.097;55;0.031;16;0.053;29;
1;BinarySearchTree;Ordered;100;0.061;53;0.102;102;0.102;103;
1;BinarySearch;Ordered;100;0.028;14;0.032;11;0.078;63;
1;LinearSearch;Ordered;100;0.224;150;0.205;151;0.014;5;
1;TreapTree;OrderedInverse;100;0.039;3;0.031;7;0.026;4;
1;AVLTree;OrderedInverse;100;0.038;23;0.027;15;0.035;21;
1;RedBlackTree;OrderedInverse;100;0.098;47;0.029;15;0.052;34;
1;BinarySearchTree;OrderedInverse;100;0.068;53;0.1;102;0.102;103;
1;BinarySearch;OrderedInverse;100;0.095;66;0.031;11;0.024;11;
1;LinearSearch;OrderedInverse;100;0.215;101;0.194;102;0.013;5;
1;TreapTree;AlmostOrdered;100;0.054;7;0.036;8;0.037;4;
1;AVLTree;AlmostOrdered;100;0.052;27;0.03;15;0.044;19;
1;RedBlackTree;AlmostOrdered;100;0.104;49;0.032;16;0.064;28;
1;BinarySearchTree;AlmostOrdered;100;0.062;53;0.107;102;0.104;103;
1;BinarySearch;AlmostOrdered;100;0.047;20;0.043;11;0.085;56;
1;LinearSearch;AlmostOrdered;100;0.225;121;0.182;122;0.033;9;
1;TreapTree;Random;100;0.067;6;0.042;7;0.057;6;
1;AVLTree;Random;100;0.062;24;0.04;15;0.056;20;
1;RedBlackTree;Random;100;0.097;32;0.027;15;0.046;28;
1;BinarySearchTree;Random;100;0.051;53;0.069;102;0.07;103;
1;BinarySearch;Random;100;0.058;41;0.03;11;0.047;35;
1;LinearSearch;Random;100;0.034;17;0.027;18;0.031;16;
1;TreapTree;Ordered;1000;0.235;6;0.165;11;0.11;5;
1;AVLTree;Ordered;1000;0.258;42;0.13;22;0.101;24;
1;RedBlackTree;Ordered;1000;0.477;92;0.117;24;0.18;43;
1;BinarySearchTree;Ordered;1000;1.43;503;2.758;1001;2.684;1001;
1;BinarySearch;Ordered;1000;0.098;20;0.117;19;1.528;522;
1;LinearSearch;Ordered;1000;6.123;1500;6.465;1501;0.037;5;
1;TreapTree;OrderedInverse;1000;0.135;6;0.108;11;0.076;5;
1;AVLTree;OrderedInverse;1000;0.138;33;0.086;23;0.082;31;
1;RedBlackTree;OrderedInverse;1000;0.406;77;0.095;23;0.157;53;
1;BinarySearchTree;OrderedInverse;1000;1.215;503;2.256;1002;2.27;1003;
1;BinarySearch;OrderedInverse;1000;1.651;526;0.098;19;0.076;17;
1;LinearSearch;OrderedInverse;1000;6.065;1001;5.187;1002;0.048;5;
1;TreapTree;AlmostOrdered;1000;0.171;10;0.128;12;0.144;7;
1;AVLTree;AlmostOrdered;1000;0.182;39;0.101;23;0.119;28;
1;RedBlackTree;AlmostOrdered;1000;0.373;81;0.11;28;0.156;40;
1;BinarySearchTree;AlmostOrdered;1000;1.121;503;2.2;1002;2.223;1003;
1;BinarySearch;AlmostOrdered;1000;0.321;89;0.111;19;1.307;453;
1;LinearSearch;AlmostOrdered;1000;4.919;1137;4.107;1138;0.07;13;
1;TreapTree;Random;1000;0.211;10;0.133;11;0.161;10;
1;AVLTree;Random;1000;0.189;36;0.134;23;0.187;32;
1;RedBlackTree;Random;1000;0.32;49;0.123;23;0.196;40;
1;BinarySearchTree;Random;1000;1.1;503;2.115;1002;2.151;1003;
1;BinarySearch;Random;1000;1.165;275;0.163;19;1.017;266;
1;LinearSearch;Random;1000;0.221;30;0.139;31;0.151;26;
2;TreapTree;Ordered;10;0.005;2;0.001;4;0.002;2;
2;AVLTree;Ordered;10;0.004;14;0.002;7;0.003;9;
2;RedBlackTree;Ordered;10;0.003;21;0.002;8;0.003;17;
2;BinarySearchTree;Ordered;10;0.002;8;0.001;12;0.001;13;
2;BinarySearch;Ordered;10;0.001;8;0.001;4;0.001;10;
2;LinearSearch;Ordered;10;0.001;15;0.001;16;0.001;5;
2;TreapTree;OrderedInverse;10;0.002;4;0.001;5;0.002;1;
2;AVLTree;OrderedInverse;10;0.002;12;0.001;7;0.002;11;
2;RedBlackTree;OrderedInverse;10;0.003;18;0.001;7;0.011;18;
2;BinarySearchTree;OrderedInverse;10;0.001;8;0.001;12;0.001;13;
2;BinarySearch;OrderedInverse;10;0.002;13;0.001;4;0.001;5;
2;LinearSearch;OrderedInverse;10;0.001;11;0.001;12;0.001;5;
2;TreapTree;AlmostOrdered;10;0.002;2;0.001;3;0.001;1;
2;AVLTree;AlmostOrdered;10;0.002;14;0.002;7;0.002;9;
2;RedBlackTree;AlmostOrdered;10;0.003;21;0.002;8;0.002;17;
2;BinarySearchTree;AlmostOrdered;10;0.002;8;0.001;12;0.002;13;
2;BinarySearch;AlmostOrdered;10;0.002;8;0.001;4;0.001;10;
2;LinearSearch;AlmostOrdered;10;0.001;15;0.001;16;0.001;5;
2;TreapTree;Random;10;0.003;2;0.001;3;0.002;2;
2;AVLTree;Random;10;0.002;11;0.001;7;0.002;10;
2;RedBlackTree;Random;10;0.003;14;0.001;7;0.002;17;
2;BinarySearchTree;Random;10;0.002;8;0.001;12;0.001;13;
2;BinarySearch;Random;10;0.001;10;0.002;4;0.002;7;
2;LinearSearch;Random;10;0.001;8;0.001;9;0.002;7;
2;TreapTree;Ordered;100;0.011;4;0.007;7;0.007;3;
2;AVLTree;Ordered;100;0.01;29;0.007;14;0.007;17;
2;RedBlackTree;Ordered;100;0.023;55;0.007;16;0.012;29;
2;BinarySearchTree;Ordered;100;0.014;53;0.024;102;0.026;103;
2;BinarySearch;Ordered;100;0.007;14;0.008;11;0.018;63;
2;LinearSearch;Ordered;100;0.054;150;0.049;151;0.004;5;
2;TreapTree;OrderedInverse;100;0.01;4;0.007;7;0.006;3;
2;AVLTree;OrderedInverse;100;0.009;23;0.007;15;0.008;21;
2;RedBlackTree;OrderedInverse;100;0.023;47;0.007;15;0.012;34;
2;BinarySearchTree;OrderedInverse;100;0.015;53;0.023;102;0.024;103;
2;BinarySearch;OrderedInverse;100;0.023;66;0.008;11;0.006;11;
2;LinearSearch;OrderedInverse;100;0.049;101;0.054;102;0.005;5;
2;TreapTree;AlmostOrdered;100;0.016;5;0.009;7;0.012;5;
2;AVLTree;AlmostOrdered;100;0.017;27;0.009;15;0.01;19;
2;RedBlackTree;AlmostOrdered;100;0.026;49;0.008;17;0.017;28;
2;BinarySearchTree;AlmostOrdered;100;0.016;53;0.024;101;0.024;102;
2;BinarySearch;AlmostOrdered;100;0.016;22;0.011;11;0.025;54;
2;LinearSearch;AlmostOrdered;100;0.054;119;0.047;120;0.007;8;
2;TreapTree;Random;100;0.019;6;0.01;7;0.016;6;
2;AVLTree;Random;100;0.018;24;0.011;15;0.018;20;
2;RedBlackTree;Random;100;0.033;32;0.011;15;0.023;28;
2;BinarySearchTree;Random;100;0.016;53;0.025;102;0.031;103;
2;BinarySearch;Random;100;0.027;38;0.013;11;0.022;37;
2;LinearSearch;Random;100;0.014;19;0.011;20;0.013;15;
2;TreapTree;Ordered;1000;0.12;6;0.101;12;0.069;7;
2;AVLTree;Ordered;1000;0.114;42;0.082;22;0.073;24;
2;RedBlackTree;Ordered;1000;0.392;92;0.086;24;0.127;43;
2;BinarySearchTree;Ordered;1000;1.092;503;2.239;1002;2.21;1003;
2;BinarySearch;Ordered;1000;0.077;20;0.092;19;1.283;522;
2;LinearSearch;Ordered;1000;6.87;1500;5.466;1501;0.028;5;
2;TreapTree;OrderedInverse;1000;0.116;6;0.101;12;0.071;6;
2;AVLTree;OrderedInverse;1000;0.11;33;0.081;23;0.078;31;
2;RedBlackTree;OrderedInverse;1000;0.382;77;0.086;23;0.136;53;
2;BinarySearchTree;OrderedInverse;1000;1.118;503;2.201;1002;2.22;1003;
2;BinarySearch;OrderedInverse;1000;1.822;526;0.11;19;0.095;17;
2;LinearSearch;OrderedInverse;1000;5.479;1001;5.046;1002;0.026;5;
2;TreapTree;AlmostOrdered;1000;0.161;9;0.117;12;0.123;8;
2;AVLTree;AlmostOrdered;1000;0.152;38;0.098;23;0.113;29;
2;RedBlackTree;AlmostOrdered;1000;0.364;81;0.11;29;0.152;40;
2;BinarySearchTree;AlmostOrdered;1000;1.085;503;2.183;1002;2.153;1003;
2;BinarySearch;AlmostOrdered;1000;0.345;82;0.108;19;1.163;460;
2;LinearSearch;AlmostOrdered;1000;4.426;1137;4.06;1138;0.073;13;
2;TreapTree;Random;1000;0.209;10;0.13;11;0.162;10;
2;AVLTree;Random;1000;0.181;35;0.138;23;0.163;32;
2;RedBlackTree;Random;1000;0.346;48;0.122;23;0.195;40;
2;BinarySearchTree;Random;1000;1.116;502;2.178;1001;2.187;1002;
2;BinarySearch;Random;1000;0.961;274;0.134;19;0.747;267;
2;LinearSearch;Random;1000;0.177;27;0.132;28;0.142;25;
3;TreapTree;Ordered;10;0.003;2;0.002;3;0.002;1;
3;AVLTree;Ordered;10;0.003;14;0.002;7;0.001;9;
3;RedBlackTree;Ordered;10;0.003;21;0.001;8;0.002;17;
3;BinarySearchTree;Ordered;10;0.002;8;0.001;12;0.001;13;
3;BinarySearch;Ordered;10;0.002;8;0.001;4;0.001;10;
3;LinearSearch;Ordered;10;0.001;15;0.001;16;0.001;5;
3;TreapTree;OrderedInverse;10;0.002;1;0.001;3;0.001;2;
3;AVLTree;OrderedInverse;10;0.001;12;0;7;0.001;11;
3;RedBlackTree;OrderedInverse;10;0.002;18;0.001;7;0.002;18;
3;BinarySearchTree;OrderedInverse;10;0.002;8;0.001;12;0.001;13;
3;BinarySearch;OrderedInverse;10;0.002;13;0.002;4;0.001;5;
3;LinearSearch;OrderedInverse;10;0.002;11;0.001;12;0.001;5;
3;TreapTree;AlmostOrdered;10;0.001;1;0.001;2;0.001;2;
3;AVLTree;AlmostOrdered;10;0.002;13;0.001;8;0.002;10;
3;RedBlackTree;AlmostOrdered;10;0.002;17;0.001;8;0.002;17;
3;BinarySearchTree;AlmostOrdered;10;0.001;8;0.001;12;0.001;13;
3;BinarySearch;AlmostOrdered;10;0.002;8;0.001;4;0.001;8;
3;LinearSearch;AlmostOrdered;10;0.002;13;0.001;14;0.001;6;
3;TreapTree;Random;10;0.002;2;0.001;3;0.002;2;
3;AVLTree;Random;10;0.001;12;0.001;7;0.001;9;
3;RedBlackTree;Random;10;0.002;14;0.001;8;0.002;15;
3;BinarySearchTree;Random;10;0.001;8;0.001;12;0.001;13;
3;BinarySearch;Random;10;0.002;10;0.001;4;0.001;7;
3;LinearSearch;Random;10;0.001;10;0.001;11;0.002;8;
3;TreapTree;Ordered;100;0.01;3;0.007;6;0.006;4;
3;AVLTree;Ordered;100;0.01;29;0.007;14;0.008;17;
3;RedBlackTree;Ordered;100;0.023;55;0.007;16;0.013;29;
3;BinarySearchTree;Ordered;100;0.014;53;0.025;102;0.024;103;
3;BinarySearch;Ordered;100;0.006;14;0.008;11;0.018;63;
3;LinearSearch;Ordered;100;0.052;150;0.048;151;0.003;5;
3;TreapTree;OrderedInverse;100;0.011;5;0.008;7;0.006;3;
3;AVLTree;OrderedInverse;100;0.009;23;0.007;15;0.008;21;
3;RedBlackTree;OrderedInverse;100;0.022;47;0.007;15;0.012;34;
3;BinarySearchTree;OrderedInverse;100;0.017;53;0.024;102;0.024;103;
3;BinarySearch;OrderedInverse;100;0.021;66;0.008;11;0.006;11;
3;LinearSearch;OrderedInverse;100;0.052;101;0.046;102;0.003;5;
3;TreapTree;AlmostOrdered;100;0.013;6;0.008;7;0.008;4;
3;AVLTree;AlmostOrdered;100;0.011;27;0.007;14;0.011;19;
3;RedBlackTree;AlmostOrdered;100;0.024;48;0.007;17;0.014;28;
3;BinarySearchTree;AlmostOrdered;100;0.016;53;0.023;102;0.023;102;
3;BinarySearch;AlmostOrdered;100;0.012;21;0.008;11;0.018;55;
3;LinearSearch;AlmostOrdered;100;0.049;121;0.042;122;0.006;9;
3;TreapTree;Random;100;0.015;6;0.009;7;0.012;6;
3;AVLTree;Random;100;0.013;24;0.008;15;0.013;20;
3;RedBlackTree;Random;100;0.024;32;0.009;15;0.017;28;
3;BinarySearchTree;Random;100;0.014;53;0.024;102;0.024;103;
3;BinarySearch;Random;100;0.019;41;0.01;11;0.015;34;
3;LinearSearch;Random;100;0.019;17;0.009;18;0.01;15;
3;TreapTree;Ordered;1000;0.178;6;0.116;11;0.084;6;
3;AVLTree;Ordered;1000;0.138;42;0.086;22;0.081;24;
3;RedBlackTree;Ordered;1000;0.395;92;0.093;24;0.133;43;
3;BinarySearchTree;Ordered;1000;1.098;503;2.144;1002;2.156;1003;
3;BinarySearch;Ordered;1000;0.133;20;0.108;19;1.583;522;
3;LinearSearch;Ordered;1000;5.754;1500;5.506;1501;0.036;5;
3;TreapTree;OrderedInverse;1000;0.131;6;0.116;12;0.083;6;
3;AVLTree;OrderedInverse;1000;0.133;33;0.09;23;0.095;31;
3;RedBlackTree;OrderedInverse;1000;0.374;77;0.09;23;0.149;53;
3;BinarySearchTree;OrderedInverse;1000;1.123;503;2.195;1002;2.243;1003;
3;BinarySearch;OrderedInverse;1000;1.771;526;0.107;19;0.094;17;
3;LinearSearch;OrderedInverse;1000;5.528;1001;5.289;1002;0.044;5;
3;TreapTree;AlmostOrdered;1000;0.24;9;0.146;12;0.14;8;
3;AVLTree;AlmostOrdered;1000;0.201;39;0.135;23;0.14;29;
3;RedBlackTree;AlmostOrdered;1000;0.409;81;0.118;29;0.186;40;
3;BinarySearchTree;AlmostOrdered;1000;1.16;503;2.196;1002;2.241;1002;
3;BinarySearch;AlmostOrdered;1000;0.32;84;0.112;19;1.16;458;
3;LinearSearch;AlmostOrdered;1000;4.318;1137;4.299;1138;0.099;14;
3;TreapTree;Random;1000;0.251;10;0.152;11;0.174;11;
3;AVLTree;Random;1000;0.207;36;0.124;23;0.191;32;
3;RedBlackTree;Random;1000;0.335;48;0.142;23;0.26;40;
3;BinarySearchTree;Random;1000;1.134;503;2.218;1002;2.144;1003;
3;BinarySearch;Random;1000;0.915;272;0.144;19;0.743;269;
3;LinearSearch;Random;1000;0.182;29;0.136;30;0.144;27;
4;TreapTree;Ordered;10;0.003;2;0.001;3;0.001;1;
4;AVLTree;Ordered;10;0.003;14;0.001;7;0.002;9;
4;RedBlackTree;Ordered;10;0.004;21;0.001;8;0.003;17;
4;BinarySearchTree;Ordered;10;0.003;8;0.001;12;0.002;13;
4;BinarySearch;Ordered;10;0.002;8;0.002;4;0.002;10;
4;LinearSearch;Ordered;10;0.002;15;0.001;16;0.001;5;
4;TreapTree;OrderedInverse;10;0.003;1;0.001;3;0.001;2;
4;AVLTree;OrderedInverse;10;0.003;12;0.001;7;0.002;11;
4;RedBlackTree;OrderedInverse;10;0.003;18;0.001;7;0.002;18;
4;BinarySearchTree;OrderedInverse;10;0.002;8;0.001;12;0.001;13;
4;BinarySearch;OrderedInverse;10;0.002;13;0.001;4;0.001;5;
