Iteration;Algorithm;DatasetName;DatasetSize;Time Insere;Counter Comparisons Insere;Time Pesquisa;Counter Comparisons Pesquisa;Time Retira;Counter Comparisons Retira
1;binarySearchTree;Ordered;10;0.003;155;0.001;165;0;50;
1;binarySearchTree;Ordered;100;0.018;15050;0.065;15150;0.001;500;
1;binarySearchTree;Ordered;1000;4.43;1500500;3.515;1501500;0.023;5000;
1;binarySearchTree;Ordered;10000;267.377;150005000;241.715;150015000;0.121;50000;
1;binarySearchTree;OrderedInverse;10;0.002;110;0;120;0.001;59;
1;binarySearchTree;OrderedInverse;100;0.067;10100;0.014;10200;0.001;599;
1;binarySearchTree;OrderedInverse;1000;1.851;1001000;1.512;1002000;0.011;5999;
1;binarySearchTree;OrderedInverse;10000;227.937;100010000;216.012;100020000;0.127;59999;
1;binarySearchTree;AlmostOrdered;10;0.003;144;0;154;0;60;
1;binarySearchTree;AlmostOrdered;100;0.014;12027;0.067;12127;0.004;899;
1;binarySearchTree;AlmostOrdered;1000;3.084;1138422;2.639;1139422;0.056;14077;
1;binarySearchTree;AlmostOrdered;10000;182.435;112701618;174.603;112711618;0.515;210283;
1;binarySearchTree;Random;10;0.02;97;0;107;0.001;68;
1;binarySearchTree;Random;100;0.008;1757;0.004;1857;0.068;1588;
1;binarySearchTree;Random;1000;0.119;27987;0.068;28987;0.072;25435;
1;binarySearchTree;Random;10000;1.688;408415;1.014;418415;1.045;381186;
