Iteration;Algorithm;DatasetName;DatasetSize;Time Insere;Counter Comparisons Insere;Time Pesquisa;Counter Comparisons Pesquisa;Time Retira;Counter Comparisons Retira
1;binarySearch;Ordered;10;0.236;80;0.001;45;0.001;101;
1;binarySearch;Ordered;100;0.205;1446;0.004;1179;0.011;6308;
1;binarySearch;Ordered;1000;0.394;20954;0.046;19912;1.019;522488;
1;binarySearch;Ordered;10000;0.648;277234;1.203;281875;59.623;50325932;
1;binarySearch;OrderedInverse;10;0.004;132;0.001;45;0;58;
1;binarySearch;OrderedInverse;100;0.023;6690;0.02;1179;0.003;1160;
1;binarySearch;OrderedInverse;1000;1.409;526461;0.043;19912;0.03;17974;
1;binarySearch;OrderedInverse;10000;72.197;50365893;0.586;281875;0.385;247262;
1;binarySearch;AlmostOrdered;10;0.003;84;0.001;45;0.001;103;
1;binarySearch;AlmostOrdered;100;0.017;2100;0.031;1179;0.01;5600;
1;binarySearch;AlmostOrdered;1000;0.271;82900;0.053;19912;0.577;459821;
1;binarySearch;AlmostOrdered;10000;10.139;6602436;0.692;281875;52.189;43991749;
1;binarySearch;Random;10;0.004;104;0.001;45;0.001;71;
1;binarySearch;Random;100;0.011;4121;0.005;1179;0.008;3482;
1;binarySearch;Random;1000;0.74;264450;0.069;19912;0.393;277658;
1;binarySearch;Random;10000;36.478;24993896;0.909;281875;31.012;25593354;
