Iteration;Algorithm;DatasetName;DatasetSize;Time Insere;Counter Comparisons Insere;Time Pesquisa;Counter Comparisons Pesquisa;Time Retira;Counter Comparisons Retira
1;linearSearch;Ordered;10;0.002;85;0.001;120;0.001;130;
1;linearSearch;Ordered;100;0.009;5350;0.026;10200;0.019;10300;
1;linearSearch;Ordered;1000;0.35;503500;0.477;1002000;0.479;1003000;
1;linearSearch;Ordered;10000;25.367;50035000;51.165;100020000;47.682;100030000;
1;linearSearch;OrderedInverse;10;0.004;85;0.001;120;0.001;130;
1;linearSearch;OrderedInverse;100;0.01;5350;0.059;10200;0.046;10300;
1;linearSearch;OrderedInverse;1000;0.558;503500;0.969;1002000;0.948;1003000;
1;linearSearch;OrderedInverse;10000;28.865;50035000;49.429;100020000;49.795;100030000;
1;linearSearch;AlmostOrdered;10;0.022;85;0;120;0;130;
1;linearSearch;AlmostOrdered;100;0.008;5350;0.006;10200;0.006;10300;
1;linearSearch;AlmostOrdered;1000;0.709;503500;0.931;1002000;3.262;1003000;
1;linearSearch;AlmostOrdered;10000;26.133;50035000;51.972;100020000;46.556;100030000;
1;linearSearch;Random;10;0.003;85;0;120;0.001;130;
1;linearSearch;Random;100;0.075;5350;0.006;10200;0.007;10300;
1;linearSearch;Random;1000;0.271;503500;0.518;1002000;0.472;1003000;
1;linearSearch;Random;10000;25.353;50035000;51.117;100020000;46.371;100030000;
