Iteration;Algorithm;DatasetName;DatasetSize;Time Insere;Counter Comparisons Insere;Time Pesquisa;Counter Comparisons Pesquisa;Time Retira;Counter Comparisons Retira
1;TreapTree;Ordered;10;0.004;1;0.002;3;0.002;2
1;AVLTree;Ordered;10;0.004;14;0.002;7;0.002;9
1;RedBlackTree;Ordered;10;0.004;21;0.001;8;0.003;17
1;BinarySearchTree;Ordered;10;0.003;8;0.001;12;0.001;13
1;BinarySearch;Ordered;10;0.001;8;0.001;4;0.002;10
1;LinearSearch;Ordered;10;0.002;15;0.002;16;0.002;5
1;TreapTree;OrderedInverse;10;0.002;1;0.001;3;0.001;1
1;AVLTree;OrderedInverse;10;0.002;12;0.001;7;0.002;11
1;RedBlackTree;OrderedInverse;10;0.003;18;0.001;7;0.003;18
1;BinarySearchTree;OrderedInverse;10;0.002;8;0.001;12;0.001;13
1;BinarySearch;OrderedInverse;10;0.002;13;0.002;4;0.001;5
1;LinearSearch;OrderedInverse;10;0.002;11;0.001;12;0.001;5
1;TreapTree;AlmostOrdered;10;0.003;2;0.002;2;0.001;2
1;AVLTree;AlmostOrdered;10;0.002;13;0.002;8;0.002;9
1;RedBlackTree;AlmostOrdered;10;0.003;18;0.001;8;0.002;17
1;BinarySearchTree;AlmostOrdered;10;0.001;8;0.001;12;0.001;13
1;BinarySearch;AlmostOrdered;10;0.002;8;0.001;4;0.001;10
1;LinearSearch;AlmostOrdered;10;0.002;14;0.002;15;0.002;5
1;TreapTree;Random;10;0.002;2;0.002;3;0.002;2
1;AVLTree;Random;10;0.003;11;0.001;7;0.002;11
1;RedBlackTree;Random;10;0.003;14;0.002;7;0.003;17
1;BinarySearchTree;Random;10;0.002;8;0.001;12;0.001;13
1;BinarySearch;Random;10;0.002;12;0.001;4;0.002;5
1;LinearSearch;Random;10;0.002;7;0.001;8;0.002;7
1;TreapTree;Ordered;100;0.015;4;0.01;6;0.008;3
1;AVLTree;Ordered;100;0.013;29;0.01;14;0.011;17
1;RedBlackTree;Ordered;100;0.033;55;0.01;16;0.017;29
1;BinarySearchTree;Ordered;100;0.02;53;0.033;102;0.034;103
1;BinarySearch;Ordered;100;0.011;14;0.011;11;0.026;63
1;LinearSearch;Ordered;100;0.074;150;0.069;151;0.004;5
1;TreapTree;OrderedInverse;100;0.013;3;0.011;7;0.009;4
1;AVLTree;OrderedInverse;100;0.012;23;0.009;15;0.022;21
1;RedBlackTree;OrderedInverse;100;0.041;47;0.01;15;0.018;34
1;BinarySearchTree;OrderedInverse;100;0.019;53;0.033;102;0.033;103
1;BinarySearch;OrderedInverse;100;0.031;66;0.012;11;0.008;11
1;LinearSearch;OrderedInverse;100;0.069;101;0.065;102;0.004;5
1;TreapTree;AlmostOrdered;100;0.018;6;0.014;8;0.016;4
1;AVLTree;AlmostOrdered;100;0.017;26;0.01;14;0.014;18
1;RedBlackTree;AlmostOrdered;100;0.035;48;0.011;17;0.022;28
1;BinarySearchTree;AlmostOrdered;100;0.023;53;0.034;102;0.035;103
1;BinarySearch;AlmostOrdered;100;0.016;20;0.015;11;0.026;56
1;LinearSearch;AlmostOrdered;100;0.065;120;0.058;121;0.008;8
1;TreapTree;Random;100;0.022;5;0.012;6;0.017;6
1;AVLTree;Random;100;0.019;24;0.011;15;0.018;20
1;RedBlackTree;Random;100;0.032;31;0.011;15;0.027;28
1;BinarySearchTree;Random;100;0.021;53;0.035;102;0.035;103
1;BinarySearch;Random;100;0.032;40;0.015;11;0.022;35
1;LinearSearch;Random;100;0.016;17;0.013;18;0.014;16
1;TreapTree;Ordered;1000;0.143;6;0.12;11;0.075;5
1;AVLTree;Ordered;1000;0.136;42;0.097;22;0.089;24
1;RedBlackTree;Ordered;1000;0.443;92;0.098;24;0.15;43
1;BinarySearchTree;Ordered;1000;1.333;503;2.414;1002;2.29;1003
1;BinarySearch;Ordered;1000;0.081;20;0.099;19;1.346;522
1;LinearSearch;Ordered;1000;6.196;1500;5.154;1501;0.026;5
1;TreapTree;OrderedInverse;1000;0.148;6;0.097;11;0.063;5
1;AVLTree;OrderedInverse;1000;0.135;33;0.079;23;0.073;31
1;RedBlackTree;OrderedInverse;1000;0.387;77;0.087;23;0.135;53
1;BinarySearchTree;OrderedInverse;1000;1.1;503;2.152;1002;2.154;1003
1;BinarySearch;OrderedInverse;1000;1.614;526;0.098;19;0.067;17
1;LinearSearch;OrderedInverse;1000;5.285;1001;4.898;1002;0.024;5
1;TreapTree;AlmostOrdered;1000;0.197;10;0.124;13;0.111;8
1;AVLTree;AlmostOrdered;1000;0.171;38;0.093;23;0.112;29
1;RedBlackTree;AlmostOrdered;1000;0.392;80;0.1;28;0.153;40
1;BinarySearchTree;AlmostOrdered;1000;1.107;503;2.144;1002;2.129;1002
1;BinarySearch;AlmostOrdered;1000;0.322;82;0.115;19;1.125;460
1;LinearSearch;AlmostOrdered;1000;4.015;1138;3.678;1139;0.065;14
1;TreapTree;Random;1000;0.216;11;0.116;11;0.149;10
1;AVLTree;Random;1000;0.183;36;0.106;23;0.143;32
1;RedBlackTree;Random;1000;0.308;48;0.104;23;0.176;40
1;BinarySearchTree;Random;1000;1.035;503;1.903;1002;1.812;1002
1;BinarySearch;Random;1000;0.783;278;0.115;19;0.572;263
1;LinearSearch;Random;1000;0.155;30;0.106;31;0.109;27
1;TreapTree;Ordered;10000;0.858;8;1.132;15;0.677;8
1;AVLTree;Ordered;10000;1.166;56;0.833;31;0.737;32
1;RedBlackTree;Ordered;10000;4.521;129;0.944;33;1.429;59
1;BinarySearchTree;Ordered;10000;87.739;5003;197.418;10002;176.048;10003
1;BinarySearch;Ordered;10000;0.811;27;0.959;28;113.101;5032
1;LinearSearch;Ordered;10000;471.841;15000;450.471;15001;0.201;5
1;TreapTree;OrderedInverse;10000;0.891;8;1.03;15;0.604;8
1;AVLTree;OrderedInverse;10000;1.045;44;0.765;31;0.679;41
1;RedBlackTree;OrderedInverse;10000;4.328;107;0.91;31;1.661;73
1;BinarySearchTree;OrderedInverse;10000;87.401;5003;174.505;10002;175.455;10003
1;BinarySearch;OrderedInverse;10000;119.484;5036;0.974;28;0.679;24
1;LinearSearch;OrderedInverse;10000;426.96;10001;415.717;10002;0.184;5
1;TreapTree;AlmostOrdered;10000;1.542;12;1.305;16;1.107;11
1;AVLTree;AlmostOrdered;10000;1.379;50;1.011;32;1.149;39
1;RedBlackTree;AlmostOrdered;10000;4.091;113;1.183;39;1.685;53
1;BinarySearchTree;AlmostOrdered;10000;87.03;5003;174.209;10001;175.622;10002
1;BinarySearch;AlmostOrdered;10000;16.092;663;1.204;28;81.438;4396
1;LinearSearch;AlmostOrdered;10000;339.932;11267;328.09;11268;0.799;18
1;TreapTree;Random;10000;2.495;15;1.794;17;1.876;15
1;AVLTree;Random;10000;1.921;48;1.382;31;1.702;43
1;RedBlackTree;Random;10000;3.359;65;1.351;32;2.025;52
1;BinarySearchTree;Random;10000;86.617;5003;173.103;10002;174.892;10002
1;BinarySearch;Random;10000;61.178;2530;1.52;28;49.445;2528
1;LinearSearch;Random;10000;2.105;42;1.65;43;1.611;39
1;TreapTree;Ordered;100000;11.529;11;14.675;20;8.138;10
1;AVLTree;Ordered;100000;14.901;69;10.504;39;9.492;40
1;RedBlackTree;Ordered;100000;54.564;165;11.573;41;22.093;74
1;BinarySearchTree;Ordered;100000;8817.97;7053;17948.5;14102;19416.5;14103
1;BinarySearch;Ordered;100000;11.268;34;14.09;36;11261.2;7092
1;LinearSearch;Ordered;100000;60476;21151;70512.2;21152;3.27;5
1;TreapTree;OrderedInverse;100000;13.722;11;18.914;21;9.586;10
1;AVLTree;OrderedInverse;100000;15.445;54;11.038;39;10.269;51
1;RedBlackTree;OrderedInverse;100000;56.938;137;12.391;40;23.543;93
1;BinarySearchTree;OrderedInverse;100000;9062.31;7053;17609.9;14102;17611.6;14103
1;BinarySearch;OrderedInverse;100000;12405.1;7096;12.023;36;8.66;31
1;LinearSearch;OrderedInverse;100000;47791;14101;46085.6;14102;2.548;5
1;TreapTree;AlmostOrdered;100000;24.255;17;23.704;21;18.07;14
1;AVLTree;AlmostOrdered;100000;19.917;63;15.011;40;17.099;48
1;RedBlackTree;AlmostOrdered;100000;57;147;21.141;54;24.037;65
1;BinarySearchTree;AlmostOrdered;100000;8809.33;7053;17567.4;14102;17671.4;14103
